Account Name,Account Phone,Account Type,Billing Address,Billing City,Billing Country,Billing State/Province,Billing Street,Billing Zip/Postal Code,Shipping Address,Shipping City,Shipping Country,Shipping State/Province,Shipping Street,Shipping Zip/Postal Code
"Green Fields Media","(415) 555-3827","Enterprise","[country:USA, city:Denver, countryCode:null, street:707 17th Street, latitude:39.747006, postalCode:80202, geocodeAccuracy:Address, stateCode:null, state:CO, longitude:-104.990537]","Denver","USA","CO","707 17th Street","80202","[country:USA, city:Denver, countryCode:null, street:707 17th Street, latitude:39.747006, postalCode:80202, geocodeAccuracy:Address, stateCode:null, state:CO, longitude:-104.990537]","Denver","USA","CO","707 17th Street","80202"
"Robert Weiss","(203) 555-2503","Person","[country:USA, city:Cambridge, countryCode:null, street:2228 Kennedy Court, latitude:42.37171, postalCode:02141, geocodeAccuracy:null, stateCode:null, state:MA, longitude:-71.1208599]","Cambridge","USA","MA","2228 Kennedy Court","02141","[country:USA, city:Cambridge, countryCode:null, street:2228 Kennedy Court, latitude:null, postalCode:02141, geocodeAccuracy:null, stateCode:null, state:MA, longitude:null]","Cambridge","USA","MA","2228 Kennedy Court","02141"
"Datanet, Inc.","(678) 555-0153","Enterprise","[country:USA, city:New York, countryCode:null, street:310 Henry St, latitude:40.714018, postalCode:10002, geocodeAccuracy:Block, stateCode:null, state:NY, longitude:-73.981768]","New York","USA","NY","310 Henry St","10002","[country:USA, city:New York, countryCode:null, street:310 Henry St, latitude:40.714018, postalCode:10002, geocodeAccuracy:Block, stateCode:null, state:NY, longitude:-73.981768]","New York","USA","NY","310 Henry St","10002"
"Inventure, Inc.","(502) 555-4387","Mid-Market","[country:USA, city:Louisville, countryCode:null, street:346 South Arthur Avenue, latitude:39.96662, postalCode:80027, geocodeAccuracy:Address, stateCode:null, state:CO, longitude:-105.124522]","Louisville","USA","CO","346 South Arthur Avenue","80027","[country:USA, city:Louisville, countryCode:null, street:346 South Arthur Avenue, latitude:39.96662, postalCode:80027, geocodeAccuracy:Address, stateCode:null, state:CO, longitude:-105.124522]","Louisville","USA","CO","346 South Arthur Avenue","80027"
"Aims Social, Inc.","(603) 555-0153","Small Business","[country:USA, city:Cook, countryCode:null, street:1419 Gunderson Ave, latitude:41.860889, postalCode:60402, geocodeAccuracy:Address, stateCode:null, state:IL, longitude:-87.785925]","Cook","USA","IL","1419 Gunderson Ave","60402","[country:USA, city:Cook, countryCode:null, street:1419 Gunderson Ave, latitude:41.860889, postalCode:60402, geocodeAccuracy:Address, stateCode:null, state:IL, longitude:-87.785925]","Cook","USA","IL","1419 Gunderson Ave","60402"
"Universal Containers","(666) 555-3980","Mid-Market","[country:USA, city:Clark, countryCode:null, street:3544 Wedo St, latitude:36.244188, postalCode:89031, geocodeAccuracy:Block, stateCode:null, state:NV, longitude:-115.186797]","Clark","USA","NV","3544 Wedo St","89031","[country:USA, city:Clark, countryCode:null, street:3544 Wedo St, latitude:36.244188, postalCode:89031, geocodeAccuracy:Block, stateCode:null, state:NV, longitude:-115.186797]","Clark","USA","NV","3544 Wedo St","89031"
"Ohana Insurance","(174) 555-0153","Mid-Market","[country:USA, city:Richmond, countryCode:null, street:1419 Commerce Rd, latitude:37.509472, postalCode:23224, geocodeAccuracy:Block, stateCode:null, state:VA, longitude:-77.431548]","Richmond","USA","VA","1419 Commerce Rd","23224","[country:USA, city:Richmond, countryCode:null, street:1419 Commerce Rd, latitude:37.509472, postalCode:23224, geocodeAccuracy:Block, stateCode:null, state:VA, longitude:-77.431548]","Richmond","USA","VA","1419 Commerce Rd","23224"
"Opportunity Resources Inc","+55 19 2117 8003","Enterprise","[country:Brazil, city:Campinas, countryCode:null, street:Rua Jasmin 560, latitude:-22.85536870084811, postalCode:13087, geocodeAccuracy:Block, stateCode:null, state:SP, longitude:-47.04893748944736]","Campinas","Brazil","SP","Rua Jasmin 560","13087","[country:Brazil, city:Campinas, countryCode:null, street:Rua Jasmin 560, latitude:-22.85536870084811, postalCode:13087, geocodeAccuracy:Block, stateCode:null, state:SP, longitude:-47.04893748944736]","Campinas","Brazil","SP","Rua Jasmin 560","13087"
"XPower","(129) 555-0153","Mid-Market","[country:USA, city:New York, countryCode:null, street:124 8th Avenue, latitude:40.741225, postalCode:10011, geocodeAccuracy:Address, stateCode:null, state:NY, longitude:-74.000999]","New York","USA","NY","124 8th Avenue","10011","[country:USA, city:New York, countryCode:null, street:124 8th Avenue, latitude:40.741225, postalCode:10011, geocodeAccuracy:Address, stateCode:null, state:NY, longitude:-74.000999]","New York","USA","NY","124 8th Avenue","10011"
"Open Source Inc.","(187) 555-0153","Mid-Market","[country:USA, city:Austin, countryCode:null, street:600 Congress Avenue, latitude:30.268468, postalCode:78701, geocodeAccuracy:Address, stateCode:null, state:TX, longitude:-97.743123]","Austin","USA","TX","600 Congress Avenue","78701","[country:USA, city:Austin, countryCode:null, street:600 Congress Avenue, latitude:30.268468, postalCode:78701, geocodeAccuracy:Address, stateCode:null, state:TX, longitude:-97.743123]","Austin","USA","TX","600 Congress Avenue","78701"
"Towson Inc.","(467) 555-0153","Mid-Market","[country:USA, city:Alameda, countryCode:null, street:1678 50th Ave, latitude:37.771466, postalCode:94601, geocodeAccuracy:Block, stateCode:null, state:CA, longitude:-122.207077]","Alameda","USA","CA","1678 50th Ave","94601","[country:USA, city:Alameda, countryCode:null, street:1678 50th Ave, latitude:37.771466, postalCode:94601, geocodeAccuracy:Block, stateCode:null, state:CA, longitude:-122.207077]","Alameda","USA","CA","1678 50th Ave","94601"
"Optos Inc.","(720) 555-0153","Enterprise","[country:USA, city:San Francisco, countryCode:null, street:5546 Geary Blvd, latitude:37.780598, postalCode:94121, geocodeAccuracy:Address, stateCode:null, state:CA, longitude:-122.479134]","San Francisco","USA","CA","5546 Geary Blvd","94121","[country:USA, city:San Francisco, countryCode:null, street:5546 Geary Blvd, latitude:37.780598, postalCode:94121, geocodeAccuracy:Address, stateCode:null, state:CA, longitude:-122.479134]","San Francisco","USA","CA","5546 Geary Blvd","94121"
"UlyssesNet","(765) 555-0153","Enterprise","[country:USA, city:King, countryCode:null, street:6805 15th Ave NW, latitude:47.678348, postalCode:98117, geocodeAccuracy:Block, stateCode:null, state:WA, longitude:-122.376985]","King","USA","WA","6805 15th Ave NW","98117","[country:USA, city:King, countryCode:null, street:6805 15th Ave NW, latitude:47.678348, postalCode:98117, geocodeAccuracy:Block, stateCode:null, state:WA, longitude:-122.376985]","King","USA","WA","6805 15th Ave NW","98117"
"Permadyne GmbH, LTD","(422) 555-0153","Enterprise","[country:Switzerland, city:Genève, countryCode:null, street:Avenue de la Roseraie 64, latitude:46.19034804805471, postalCode:1205, geocodeAccuracy:Block, stateCode:null, state:null, longitude:6.148955380906249]","Genève","Switzerland","","Avenue de la Roseraie 64","1205","[country:Switzerland, city:Genève, countryCode:null, street:Avenue de la Roseraie 64, latitude:46.19034804805471, postalCode:1205, geocodeAccuracy:Block, stateCode:null, state:null, longitude:6.148955380906249]","Genève","Switzerland","","Avenue de la Roseraie 64","1205"
"Employnet","(794) 555-0153","Enterprise","[country:USA, city:Pittsburgh, countryCode:null, street:450 Technology Drive, latitude:40.431524, postalCode:15219, geocodeAccuracy:Address, stateCode:null, state:PA, longitude:-79.962507]","Pittsburgh","USA","PA","450 Technology Drive","15219","[country:USA, city:Pittsburgh, countryCode:null, street:450 Technology Drive, latitude:40.431524, postalCode:15219, geocodeAccuracy:Address, stateCode:null, state:PA, longitude:-79.962507]","Pittsburgh","USA","PA","450 Technology Drive","15219"
"Tyconet","+41 22 906 55 15","Enterprise","[country:USA, city:King, countryCode:null, street:5815 Fairview Pl N, latitude:47.6303, postalCode:98109, geocodeAccuracy:Zip, stateCode:null, state:WA, longitude:-122.3457]","King","USA","WA","5815 Fairview Pl N","98109","[country:USA, city:King, countryCode:null, street:5815 Fairview Pl N, latitude:47.6303, postalCode:98109, geocodeAccuracy:Zip, stateCode:null, state:WA, longitude:-122.3457]","King","USA","WA","5815 Fairview Pl N","98109"
"Haven Enterprises","(590) 555-0153","Mid-Market","[country:USA, city:Baltimore (city), countryCode:null, street:405 S Stricker St, latitude:39.283162, postalCode:21223, geocodeAccuracy:Block, stateCode:null, state:MD, longitude:-76.640478]","Baltimore (city)","USA","MD","405 S Stricker St","21223","[country:USA, city:Baltimore (city), countryCode:null, street:405 S Stricker St, latitude:39.283162, postalCode:21223, geocodeAccuracy:Block, stateCode:null, state:MD, longitude:-76.640478]","Baltimore (city)","USA","MD","405 S Stricker St","21223"
"Goodman Imports","(767) 555-0153","Small Business","[country:USA, city:Hoboken, countryCode:null, street:711 Willow Ave, latitude:40.745789, postalCode:07030, geocodeAccuracy:Address, stateCode:null, state:NJ, longitude:-74.031837]","Hoboken","USA","NJ","711 Willow Ave","07030","[country:USA, city:Hoboken, countryCode:null, street:711 Willow Ave, latitude:40.745789, postalCode:07030, geocodeAccuracy:Address, stateCode:null, state:NJ, longitude:-74.031837]","Hoboken","USA","NJ","711 Willow Ave","07030"
"Roseburg Products","(261) 555-0153","Small Business","[country:USA, city:Las Vegas, countryCode:null, street:2905 Lake East Dr, latitude:36.139609, postalCode:89117, geocodeAccuracy:Address, stateCode:null, state:NV, longitude:-115.283549]","Las Vegas","USA","NV","2905 Lake East Dr","89117","[country:USA, city:Las Vegas, countryCode:null, street:2905 Lake East Dr, latitude:36.139609, postalCode:89117, geocodeAccuracy:Address, stateCode:null, state:NV, longitude:-115.283549]","Las Vegas","USA","NV","2905 Lake East Dr","89117"
"Gusto Manufacturing","(631) 555-0153","Mid-Market","[country:USA, city:Madison, countryCode:null, street:1305 Linden Dr,, latitude:43.074971, postalCode:53706, geocodeAccuracy:Block, stateCode:null, state:WI, longitude:-89.408973]","Madison","USA","WI","1305 Linden Dr,","53706","[country:USA, city:Madison, countryCode:null, street:1305 Linden Dr,, latitude:43.074971, postalCode:53706, geocodeAccuracy:Block, stateCode:null, state:WI, longitude:-89.408973]","Madison","USA","WI","1305 Linden Dr,","53706"
"Harmon Consulting","(720) 555-0153","Enterprise","[country:USA, city:New Orleans, countryCode:null, street:753 St Charles Ave, latitude:29.946239, postalCode:70130, geocodeAccuracy:Address, stateCode:null, state:LA, longitude:-90.072029]","New Orleans","USA","LA","753 St Charles Ave","70130","[country:USA, city:New Orleans, countryCode:null, street:753 St Charles Ave, latitude:29.946239, postalCode:70130, geocodeAccuracy:Address, stateCode:null, state:LA, longitude:-90.072029]","New Orleans","USA","LA","753 St Charles Ave","70130"
"AJC Corporation","(720) 555-0153","Mid-Market","[country:USA, city:Los Angeles, countryCode:null, street:6055 W Pico Blvd, latitude:34.052892, postalCode:90035, geocodeAccuracy:Address, stateCode:null, state:CA, longitude:-118.372316]","Los Angeles","USA","CA","6055 W Pico Blvd","90035","[country:USA, city:Los Angeles, countryCode:null, street:6055 W Pico Blvd, latitude:34.052892, postalCode:90035, geocodeAccuracy:Address, stateCode:null, state:CA, longitude:-118.372316]","Los Angeles","USA","CA","6055 W Pico Blvd","90035"
"Troy Bullock","(704) 555-7526","Person","[country:USA, city:Charlotte, countryCode:null, street:2708 Chilton Pl, latitude:35.180171, postalCode:28207, geocodeAccuracy:null, stateCode:null, state:NC, longitude:-80.830502]","Charlotte","USA","NC","2708 Chilton Pl","28207","[country:USA, city:Charlotte, countryCode:null, street:2708 Chilton Pl, latitude:null, postalCode:28207, geocodeAccuracy:null, stateCode:null, state:NC, longitude:null]","Charlotte","USA","NC","2708 Chilton Pl","28207"
"Mike Malmin","(317) 555-6312","Person","[country:USA, city:Indianapolis, countryCode:null, street:6452 Knyghton Rd, latitude:39.87433, postalCode:46220, geocodeAccuracy:null, stateCode:null, state:IN, longitude:-86.0738]","Indianapolis","USA","IN","6452 Knyghton Rd","46220","[country:USA, city:Indianapolis, countryCode:null, street:6452 Knyghton Rd, latitude:null, postalCode:46220, geocodeAccuracy:null, stateCode:null, state:IN, longitude:null]","Indianapolis","USA","IN","6452 Knyghton Rd","46220"
"Kari Rende","(630) 555-4403","Person","[country:USA, city:Elmhurst, countryCode:null, street:245 W Winthrop Ave, latitude:41.89274, postalCode:60126, geocodeAccuracy:null, stateCode:null, state:IL, longitude:-87.94689]","Elmhurst","USA","IL","245 W Winthrop Ave","60126","[country:USA, city:Elmhurst, countryCode:null, street:245 W Winthrop Ave, latitude:null, postalCode:60126, geocodeAccuracy:null, stateCode:null, state:IL, longitude:null]","Elmhurst","USA","IL","245 W Winthrop Ave","60126"
"Jon Allegri","(813) 555-5220","Person","[country:USA, city:Tampa, countryCode:null, street:5823 Bowen Daniel Dr, latitude:27.88345, postalCode:33616, geocodeAccuracy:null, stateCode:null, state:FL, longitude:-82.52851]","Tampa","USA","FL","5823 Bowen Daniel Dr","33616","[country:USA, city:Tampa, countryCode:null, street:5823 Bowen Daniel Dr, latitude:null, postalCode:33616, geocodeAccuracy:null, stateCode:null, state:FL, longitude:null]","Tampa","USA","FL","5823 Bowen Daniel Dr","33616"
"Niki Sullivan","(702) 555-3769","Person","[country:USA, city:Las Vegas, countryCode:null, street:216 Lindy Dr, latitude:36.1707591, postalCode:89107, geocodeAccuracy:null, stateCode:null, state:NV, longitude:-115.2375049]","Las Vegas","USA","NV","216 Lindy Dr","89107","[country:USA, city:Las Vegas, countryCode:null, street:216 Lindy Dr, latitude:null, postalCode:89107, geocodeAccuracy:null, stateCode:null, state:NV, longitude:null]","Las Vegas","USA","NV","216 Lindy Dr","89107"
"Chip Colli","(206) 555-7855","Person","[country:USA, city:Seattle, countryCode:null, street:2115 1st Ave W., latitude:47.63773, postalCode:98119, geocodeAccuracy:null, stateCode:null, state:WA, longitude:-122.35862]","Seattle","USA","WA","2115 1st Ave W.","98119","[country:USA, city:Seattle, countryCode:null, street:2115 1st Ave W., latitude:null, postalCode:98119, geocodeAccuracy:null, stateCode:null, state:WA, longitude:null]","Seattle","USA","WA","2115 1st Ave W.","98119"
"Bob Warkentine","(646) 555-2296","Person","[country:USA, city:New York, countryCode:null, street:828 7th Ave # 11F, latitude:40.76349, postalCode:10019, geocodeAccuracy:null, stateCode:null, state:NY, longitude:-73.98174]","New York","USA","NY","828 7th Ave # 11F","10019","[country:USA, city:New York, countryCode:null, street:828 7th Ave # 11F, latitude:null, postalCode:10019, geocodeAccuracy:null, stateCode:null, state:NY, longitude:null]","New York","USA","NY","828 7th Ave # 11F","10019"
"Steve Sutherland","(608) 555-3399","Person","[country:USA, city:Madison, countryCode:null, street:851 Jenifer St, latitude:43.0785399, postalCode:53703, geocodeAccuracy:null, stateCode:null, state:WI, longitude:-89.3687999]","Madison","USA","WI","851 Jenifer St","53703","[country:USA, city:Madison, countryCode:null, street:851 Jenifer St, latitude:null, postalCode:53703, geocodeAccuracy:null, stateCode:null, state:WI, longitude:null]","Madison","USA","WI","851 Jenifer St","53703"
"Benjamin Young","(713) 555-2977","Person","[country:USA, city:Houston, countryCode:null, street:13715 Lakeshore Way Cv, latitude:29.75287, postalCode:77077, geocodeAccuracy:null, stateCode:null, state:TX, longitude:-95.631]","Houston","USA","TX","13715 Lakeshore Way Cv","77077","[country:USA, city:Houston, countryCode:null, street:13715 Lakeshore Way Cv, latitude:null, postalCode:77077, geocodeAccuracy:null, stateCode:null, state:TX, longitude:null]","Houston","USA","TX","13715 Lakeshore Way Cv","77077"
"Nicole Grace","(203) 555-2801","Person","[country:USA, city:Fairfield, countryCode:null, street:1839 Faifield Beach Rd, latitude:41.14015, postalCode:6824, geocodeAccuracy:null, stateCode:null, state:CT, longitude:-73.2425]","Fairfield","USA","CT","1839 Faifield Beach Rd","6824","[country:USA, city:Fairfield, countryCode:null, street:1839 Faifield Beach Rd, latitude:null, postalCode:6824, geocodeAccuracy:null, stateCode:null, state:CT, longitude:null]","Fairfield","USA","CT","1839 Faifield Beach Rd","6824"
